ID;LTL;MITL;STL;STREL
ALWAYS;G;G[<low>, <high>];G[<low>, <high>];G[<low>, <high>]
EVENTUALLY;F;F[<low>, <high>];F[<low>, <high>];F[<low>, <high>]
UNTIL;U;U[<low>, <high>];U[<low>, <high>];U[<low>, <high>]
WEAKUNTIL;W;-;-;-
NEXT;X;-;-;-
REACH;-;-;-;R[<dist>]
ESCAPE;-;-;-;E[<dist>]
SOMEWHERE;-;-;-;SO[<dist>]
EVERYWHERE;-;-;-;EV[<dist>]
AND;&&;&&;&&;&&
OR;||;||;||;||
IMPLIES;->;->;->;->
NOT;!;!;!;!
LESS_THAN;-;-;<;<
LESS_THAN_OR_EQUAL;-;-;<=;<=
EQUAL;-;-;=;=
MORE_THAN_OR_EQUAL;-;-;>;>
MORE_THAN;-;-;>=;>=
